test1_id	test1_url	test2_id	test2_url	similarity
68	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/66_81.jpg	68	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/66_81.jpg	1.00000
69	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_84.jpg	69	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_84.jpg	1.00000
70	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_24.jpg	70	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_24.jpg	1.00000
71	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/127_134.jpg	71	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/127_134.jpg	1.00000
72	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_107.jpg	72	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_107.jpg	1.00000
73	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/111_122.jpg	73	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/111_122.jpg	1.00000
74	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/108_121.jpg	74	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/108_121.jpg	1.00000
75	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_19.jpg	75	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_19.jpg	1.00000
76	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/71_89.jpg	76	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/71_89.jpg	1.00000
77	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/132_139.jpg	77	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/132_139.jpg	1.00000
78	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/134_141.jpg	78	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/134_141.jpg	1.00000
79	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/132_138.jpg	79	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/132_138.jpg	1.00000
80	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/59_76.jpg	80	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/59_76.jpg	1.00000
81	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_18.jpg	81	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_18.jpg	1.00000
82	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/108_120.jpg	82	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/108_120.jpg	1.00000
83	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/111_123.jpg	83	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/111_123.jpg	1.00000
84	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_106.jpg	84	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_106.jpg	1.00000
85	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/74_92.jpg	85	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/74_92.jpg	1.00000
86	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_23.jpg	86	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_23.jpg	1.00000
87	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/147_152.jpg	87	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/147_152.jpg	1.00000
88	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/49_65.jpg	88	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/49_65.jpg	1.00000
89	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_83.jpg	89	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_83.jpg	1.00000
90	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/11_30.jpg	90	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/11_30.jpg	1.00000
91	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/134_142.jpg	91	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/134_142.jpg	1.00000
92	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/49_64.jpg	92	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/49_64.jpg	1.00000
93	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/8_27.jpg	93	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/8_27.jpg	1.00000
94	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/126_133.jpg	94	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/126_133.jpg	1.00000
95	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/52_68.jpg	95	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/52_68.jpg	1.00000
96	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/74_93.jpg	96	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/74_93.jpg	1.00000
97	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_108.jpg	97	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/94_108.jpg	1.00000
98	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/100_114.jpg	98	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/100_114.jpg	1.00000
99	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/161_160.jpg	99	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/161_160.jpg	1.00000
100	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/98_112.jpg	100	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/98_112.jpg	1.00000
101	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_16.jpg	101	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_16.jpg	1.00000
102	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/153_157.jpg	102	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/153_157.jpg	1.00000
103	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_17.jpg	103	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_17.jpg	1.00000
104	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/105_118.jpg	104	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/105_118.jpg	1.00000
105	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/63_78.jpg	105	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/63_78.jpg	1.00000
106	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/42_61.jpg	106	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/42_61.jpg	1.00000
107	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_15.jpg	107	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_15.jpg	1.00000
